trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2025-12-19T09:00:00.000Z,2025-12-22T05:00:00.000Z,short,126.16,128.02,-1.4743,0.9115,-1.4743,0.9115,2.3859,68.00,trailing_stop_2pct,1,10000.00,9852.57
2,2025-12-27T17:00:00.000Z,2025-12-28T17:00:00.000Z,short,124.05,128.45,-3.5470,0.6610,-3.5470,0.6610,4.2080,24.00,trailing_stop_2pct,1,9852.57,9503.10
3,2026-01-07T13:00:00.000Z,2026-01-08T17:00:00.000Z,long,136.27,140.64,3.2069,3.2069,-1.2255,3.2069,0.0000,28.00,opposite_signal,1,9503.10,9807.85
4,2026-01-10T05:00:00.000Z,2026-01-11T09:00:00.000Z,long,136.25,139.27,2.2165,2.2165,-0.4183,2.2165,0.0000,28.00,opposite_signal,1,9807.85,10025.25
5,2026-01-15T09:00:00.000Z,2026-01-18T05:00:00.000Z,long,141.51,141.95,0.3109,2.3461,-0.5512,2.3461,2.0352,68.00,trailing_stop_2pct,1,10025.25,10056.42
6,2026-01-23T13:00:00.000Z,2026-01-25T17:00:00.000Z,short,127.28,121.4,4.6197,7.4246,-0.3457,7.4246,2.8048,52.00,trailing_stop_2pct,1,10056.42,10521.00
7,2026-01-26T01:00:00.000Z,2026-01-28T17:00:00.000Z,short,122.38,122.88,-0.4086,0.0000,-4.5923,0.0000,0.4086,64.00,opposite_signal,1,10521.00,10478.01
8,2026-01-30T09:00:00.000Z,2026-01-31T13:00:00.000Z,short,118.12,105.45,10.7264,13.9604,-0.0762,13.9604,3.2340,28.00,trailing_stop_2pct,1,10478.01,11601.92
9,2026-02-02T17:00:00.000Z,2026-02-03T13:00:00.000Z,short,104.06,97.75,6.0638,6.0638,-0.5189,6.0638,0.0000,20.00,opposite_signal,1,11601.92,12305.44
10,2026-02-06T01:00:00.000Z,2026-02-09T01:00:00.000Z,short,81.28,83.39,-2.5960,0.0000,-8.6983,0.0000,2.5960,72.00,opposite_signal,1,12305.44,11986.00
11,2026-02-12T01:00:00.000Z,2026-02-13T01:00:00.000Z,short,81.86,80.25,1.9668,5.2529,0.0000,5.2529,3.2861,24.00,trailing_stop_2pct,1,11986.00,12221.74
12,2026-02-13T05:00:00.000Z,2026-02-15T13:00:00.000Z,short,83.15,86.1,-3.5478,0.0000,-9.0800,0.0000,3.5478,56.00,opposite_signal,1,12221.74,11788.13
13,2026-02-22T09:00:00.000Z,2026-02-24T17:00:00.000Z,long,83.27,81.74,-1.8374,0.0000,-7.8179,0.0000,1.8374,56.00,opposite_signal,1,11788.13,11571.54
14,2026-02-28T09:00:00.000Z,2026-03-05T21:00:00.000Z,short,82.22,88.42,-7.5407,0.0000,-13.9990,0.0000,7.5407,132.00,opposite_signal,1,11571.54,10698.96
15,2026-03-09T10:00:00.000Z,2026-03-10T02:00:00.000Z,short,85.07,86.68,-1.8926,0.1176,-1.8926,0.1176,2.0101,16.00,trailing_stop_2pct,1,10698.96,10496.47
